Product Name,Current Price,Old Price,Discount,Product URL
N/A,"KSh 45,000",N/A,N/A,https://www.jumia.co.ke/starlink-standard-kit-high-speed-low-latency-internet-with-gen-3-router-wi-fi-6-280574791.html
N/A,"KSh 6,400",N/A,66%,https://www.jumia.co.ke/renewed-chromebook-4gb-ram-32gb-ssd-11.6-hd-display-wi-fi-chrome-os-student-laptop-refurbished-325502175.html
N/A,"KSh 6,400",N/A,66%,https://www.jumia.co.ke/renewed-chromebook-4gb-ram-32gb-ssd-11.6-hd-display-wi-fi-chrome-os-student-laptop-refurbished-324119134.html
N/A,"KSh 22,500",N/A,25%,https://www.jumia.co.ke/apple-macbook-pro-13-core-i5-2.4ghz-8gb-ram-500gb-hdd-2012-silver-refurbished-189512072.html
N/A,"KSh 10,198",N/A,54%,https://www.jumia.co.ke/refurbished-thinkpad-yoga-11e-touch-screen-intel-celeron-4gb-128gb-ssd-11.6-lenovo-mpg1964991.html
N/A,KSh 557,N/A,40%,https://www.jumia.co.ke/gueeton-128gb-metal-otg-usb-flash-drive-waterproof-3d-embossment-91921997.html
N/A,KSh 302,N/A,41%,https://www.jumia.co.ke/eageat-10-speed-adjustable-laptop-standphone-stand-194881475.html
N/A,"KSh 18,989",N/A,46%,https://www.jumia.co.ke/ecotank-l3210-a4-printer-all-in-one-1yr-wrty-epson-mpg9612429.html
N/A,"KSh 14,500",N/A,9%,https://www.jumia.co.ke/dell-refurbished-optiplex-desktop-complete-core-i5-3.0ghz-4gb-ram-500gb-win-11-19-monitor-325275629.html
N/A,KSh 531,N/A,34%,https://www.jumia.co.ke/eageat-pen-flash-drive-3.0-128gb-metal-otg-micro-usb-type-c-299556625.html
N/A,KSh 579,N/A,52%,https://www.jumia.co.ke/gueeton-128gb-usb-flash-drive-metal-hook-with-3-in-1-otg-adapter-usb-cable-319451716.html
N/A,"KSh 11,999",N/A,47%,https://www.jumia.co.ke/refurbished-thinkpad-yoga-11e-x360-intel-touchscreen-11.6-4gb-ram-ssd-128gb-black-lenovo-mpg1662751.html
N/A,"KSh 15,695",N/A,17%,https://www.jumia.co.ke/hp-refurbished-elitebook-820-core-i5-8gb-ram-256gb-ssd-12.5-black-6-months-wrty-306743086.html
